leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,RCSA,0,0,0,1,0,2,-2
2,RCSA,0,0,0,2,2,6,-4
3,RCSA,1,0,1,2,3,7,-4
4,ESTAC,1,0,1,3,3,7,-4
5,FCGB,2,0,2,3,5,12,-7
6,FCM,3,0,3,3,6,13,-7
7,FCM,3,0,3,4,7,15,-8
8,ASSE,3,0,3,5,7,17,-10
9,ASSE,4,0,4,5,8,18,-10
10,ASSE,4,0,4,6,9,23,-14
11,ASSE,5,0,5,6,11,25,-14
12,ASSE,6,0,6,6,12,26,-14
13,FCM,8,1,5,7,13,27,-14
14,FCM,9,1,6,7,16,30,-14
15,ASSE,12,2,6,7,17,31,-14
16,ASSE,12,2,6,8,17,32,-15
17,ASSE,12,2,6,9,17,37,-20
18,ASSE,12,2,6,10,17,39,-22
19,ASSE,12,2,6,11,17,40,-23
20,ASSE,15,3,6,11,18,40,-22
21,ASSE,15,3,6,12,19,42,-23
22,ASSE,15,3,6,13,19,43,-24
23,ASSE,18,4,6,13,22,44,-22
24,FCGB,20,4,8,12,36,61,-25
25,FCGB,21,4,9,12,37,62,-25
26,FCGB,22,4,10,12,38,63,-25
27,FCGB,22,4,10,13,38,65,-27
28,FCGB,22,4,10,14,38,68,-30
29,FCGB,22,4,10,15,38,70,-32
30,FCGB,23,4,11,15,38,70,-32
31,FCM,23,4,11,16,28,57,-29
32,FCM,24,4,12,16,29,58,-29
33,FCM,24,4,12,17,29,59,-30
