leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASM,1,0,1,0,1,1,0
2,SRFC,2,0,2,0,2,2,0
3,ASSE,3,0,3,0,4,4,0
4,MHSC,4,1,1,2,9,9,0
5,SRFC,5,1,2,2,3,6,-3
6,SDR,7,1,4,1,6,6,0
7,CF63,9,2,3,2,10,16,-6
8,SDR,10,2,4,2,10,9,1
9,SRFC,12,3,3,3,12,9,3
10,LOSC,14,4,2,4,13,15,-2
11,FCL,15,3,6,2,12,14,-2
12,MHSC,16,4,4,4,20,19,1
13,ASM,18,5,3,5,17,16,1
14,FCN,18,5,3,6,19,19,0
15,MHSC,19,5,4,6,21,22,-1
16,SB29,21,5,6,5,23,22,1
17,SB29,24,6,6,5,25,23,2
18,FCN,25,7,4,7,24,23,1
19,OL,27,7,7,5,28,27,1
20,OL,28,7,8,5,29,28,1
21,FCN,29,8,5,8,26,25,1
22,LOSC,32,8,8,6,30,30,0
23,LOSC,32,8,8,7,31,35,-4
24,MHSC,34,10,4,10,38,34,4
25,LOSC,36,9,9,7,32,35,-3
26,MHSC,37,11,4,11,41,38,3
27,MHSC,37,11,4,12,41,40,1
28,MHSC,38,11,5,12,41,40,1
29,MHSC,41,12,5,12,43,40,3
30,MHSC,41,12,5,13,44,42,2
31,MHSC,41,12,5,14,44,44,0
32,MHSC,42,12,6,14,44,44,0
33,MHSC,42,12,6,15,44,46,-2
34,SB29,45,12,9,13,43,48,-5
35,SB29,48,13,9,13,45,48,-3
36,SB29,48,13,9,14,45,49,-4
