leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCM,1,0,1,0,3,3,0
2,OM,4,1,1,0,5,4,1
3,SRFC,5,1,2,0,3,2,1
4,RCL,6,1,3,0,7,5,2
5,CF63,8,2,2,1,9,9,0
6,CF63,9,2,3,1,10,10,0
7,OGCN,11,3,3,1,13,4,9
8,FCL,13,3,4,1,9,8,1
9,ASM,14,4,2,3,14,11,3
10,OL,16,4,4,2,16,13,3
11,SCO,17,4,5,2,17,13,4
12,OL,19,5,4,3,20,17,3
13,MHSC,19,5,4,4,21,19,2
14,SCO,21,5,6,3,20,16,4
15,OL,24,7,4,4,24,22,2
16,OL,24,7,4,5,25,24,1
17,RCSA,26,7,5,5,34,22,12
18,RCL,27,7,6,5,32,26,6
19,RCSA,29,8,5,6,36,24,12
20,MHSC,31,9,4,7,33,25,8
21,ASM,33,9,6,6,33,23,10
22,MHSC,34,10,4,8,37,30,7
23,ASM,36,10,6,7,37,26,11
24,ASM,37,10,7,7,37,26,11
25,ASM,38,10,8,7,38,27,11
26,RCL,40,11,7,8,42,37,5
27,FCN,42,12,6,9,36,29,7
28,LOSC,43,11,10,7,37,35,2
29,LOSC,46,12,10,7,38,35,3
30,ASM,47,13,8,9,45,31,14
31,ASM,50,14,8,9,47,32,15
32,ASM,53,15,8,9,50,34,16
33,OGCN,54,16,7,10,42,29,13
34,RCSA,56,15,11,8,55,36,19
35,RCSA,57,15,12,8,58,39,19
36,OGCN,60,18,7,10,44,29,15
