leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SDR,1,0,1,0,0,0,0
2,FCGB,1,0,1,1,2,4,-2
3,OL,2,0,2,1,4,7,-3
4,ASSE,3,0,3,1,5,7,-2
5,ASM,4,1,1,3,3,7,-4
6,SRFC,5,1,2,3,3,8,-5
7,FCGB,6,1,3,3,10,16,-6
8,FCGB,7,1,4,3,11,17,-6
9,FCGB,7,1,4,4,11,20,-9
10,ESTAC,9,2,3,5,9,14,-5
11,SDR,11,2,5,4,12,14,-2
12,FCGB,12,2,6,4,16,24,-8
13,SDR,12,2,6,5,14,17,-3
14,FCGB,13,2,7,5,21,30,-9
15,FCGB,13,2,7,6,22,32,-10
16,FCL,15,3,6,7,13,25,-12
17,FCL,15,3,6,8,13,26,-13
18,CF63,17,4,5,9,20,32,-12
19,FCGB,17,3,8,8,30,43,-13
20,CF63,18,4,6,10,20,34,-14
21,FCM,19,4,7,10,24,41,-17
22,ESTAC,20,5,5,12,20,31,-11
23,ESTAC,21,5,6,12,20,31,-11
24,ESTAC,21,5,6,13,21,36,-15
25,ASSE,22,5,7,13,26,47,-21
26,FCL,24,5,9,12,21,39,-18
27,ESTAC,25,6,7,14,25,41,-16
28,CF63,28,7,7,14,27,48,-21
29,FCL,28,6,10,13,24,43,-19
30,FCL,28,6,10,14,25,48,-23
31,FCL,31,7,10,14,31,50,-19
32,FCL,31,7,10,15,32,52,-20
33,ESTAC,33,8,9,16,30,46,-16
34,ESTAC,33,8,9,17,30,47,-17
35,FCL,34,8,10,17,34,59,-25
36,CF63,36,9,9,18,37,66,-29
