leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,1,0,1,0,1,1,0
2,MHSC,1,0,1,1,5,6,-1
3,SB29,2,0,2,1,4,6,-2
4,RCSA,4,1,1,2,6,8,-2
5,ESTAC,4,1,1,3,5,7,-2
6,ESTAC,5,1,2,3,6,8,-2
7,ASM,8,2,2,3,8,10,-2
8,SRFC,9,2,3,3,10,9,1
9,MHSC,10,2,4,3,16,16,0
10,MHSC,13,3,4,3,17,16,1
11,MHSC,13,3,4,4,18,19,-1
12,FCL,15,3,6,3,12,18,-6
13,FCL,15,3,6,4,13,20,-7
14,SB29,15,3,6,5,20,21,-1
15,LOSC,18,4,6,5,19,22,-3
16,FCN,19,5,4,7,20,21,-1
17,FCN,22,6,4,7,21,21,0
18,SB29,24,6,6,6,25,27,-2
19,SB29,25,6,7,6,26,28,-2
20,SB29,25,6,7,7,26,31,-5
21,SB29,25,6,7,8,26,33,-7
22,SB29,28,7,7,8,28,33,-5
23,SB29,28,7,7,9,28,35,-7
24,SCO,29,7,8,9,30,35,-5
25,SCO,29,7,8,10,30,36,-6
26,SDR,31,7,10,9,30,30,0
27,SDR,32,7,11,9,31,31,0
28,SB29,35,9,8,11,36,42,-6
29,SB29,35,9,8,12,36,43,-7
30,SDR,36,8,12,10,32,32,0
31,SDR,36,8,12,11,34,35,-1
32,SDR,37,8,13,11,34,35,-1
33,SDR,40,9,13,11,36,36,0
