leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PSG,3,1,0,0,2,1,1
2,OGCN,4,1,1,0,4,0,4
3,RCL,5,1,2,0,5,3,2
4,OM,8,2,2,0,9,6,3
5,OGCN,10,3,2,0,11,1,10
6,OGCN,11,3,3,0,13,3,10
7,RCL,12,3,3,1,11,8,3
8,OGCN,14,4,3,1,16,4,12
9,SCO,16,4,4,1,14,9,5
10,OGCN,17,5,3,2,18,6,12
11,OM,19,5,4,2,19,12,7
12,RCL,21,6,3,3,21,14,7
13,OM,23,6,5,2,20,12,8
14,RCL,24,7,3,4,25,18,7
15,OM,26,7,5,3,22,14,8
16,OGCN,27,8,4,4,25,12,13
17,OGCN,27,8,4,5,25,15,10
18,OGCN,30,9,4,5,27,16,11
19,SRFC,31,9,4,6,34,18,16
20,RCSA,32,9,5,6,38,24,14
21,RCSA,35,10,5,6,41,25,16
22,RCSA,35,10,5,7,44,29,15
23,RCSA,38,11,5,7,45,29,16
24,RCSA,41,12,5,7,46,29,17
25,RCSA,42,12,6,7,48,31,17
26,SRFC,43,13,4,9,51,25,26
27,SRFC,46,14,4,9,53,25,28
28,SRFC,49,15,4,9,57,27,30
29,OGCN,50,15,6,8,39,23,16
30,RCSA,51,14,9,7,51,32,19
31,RCSA,52,14,10,7,52,33,19
32,OGCN,54,16,7,9,42,28,14
33,RCSA,56,15,11,7,55,35,20
