leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASSE,1,0,1,0,1,1,0
2,ASM,1,0,1,1,1,2,-1
3,FCM,2,0,2,1,4,6,-2
4,ASM,4,1,1,2,3,5,-2
5,FCN,4,1,1,3,3,5,-2
6,ASM,5,1,2,3,5,9,-4
7,LOSC,8,2,2,3,9,13,-4
8,MHSC,9,2,3,3,15,15,0
9,SDR,10,2,4,3,10,11,-1
10,CF63,13,3,4,3,13,20,-7
11,CF63,13,3,4,4,14,22,-8
12,ESTAC,13,3,4,5,13,17,-4
13,ESTAC,13,3,4,6,13,21,-8
14,FCL,15,3,6,5,13,21,-8
15,SDR,16,3,7,5,16,18,-2
16,SDR,19,4,7,5,18,19,-1
17,SDR,19,4,7,6,19,21,-2
18,SDR,22,5,7,6,21,21,0
19,SDR,23,5,8,6,22,22,0
20,SDR,24,5,9,6,22,22,0
21,SDR,24,5,9,7,22,23,-1
22,SDR,24,5,9,8,22,27,-5
23,SDR,27,6,9,8,27,27,0
24,SDR,27,6,9,9,27,28,-1
25,SDR,28,6,10,9,28,29,-1
26,SCO,29,7,8,11,31,38,-7
27,SCO,29,7,8,12,31,40,-9
28,SCO,29,7,8,13,31,41,-10
29,SCO,32,8,8,13,32,41,-9
30,SCO,32,8,8,14,34,44,-10
31,SCO,33,8,9,14,35,45,-10
32,SCO,34,8,10,14,36,46,-10
33,SCO,34,8,10,15,36,49,-13
