leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,3,2,1
2,PSG,6,2,0,0,6,3,3
3,CF63,7,2,1,0,7,3,4
4,CF63,8,2,2,0,9,5,4
5,OM,11,3,2,0,11,6,5
6,RCL,12,3,3,0,11,7,4
7,SCO,12,3,3,1,10,6,4
8,RCL,15,4,3,1,14,10,4
9,OGCN,17,5,3,1,18,5,13
10,RCL,18,5,3,2,16,11,5
11,OGCN,20,6,3,2,21,8,13
12,OM,22,6,4,2,20,12,8
13,OGCN,23,7,3,3,23,10,13
14,SRFC,25,7,4,3,24,12,12
15,OGCN,26,8,3,4,25,12,13
16,SRFC,28,8,4,4,27,14,13
17,OM,29,8,5,4,24,16,8
18,SRFC,31,9,4,5,33,16,17
19,OM,33,9,6,4,27,17,10
20,OM,36,10,6,4,28,17,11
21,OM,37,10,7,4,29,18,11
22,OM,40,11,7,4,31,18,13
23,OGCN,42,13,4,6,36,19,17
24,OGCN,42,13,4,7,36,21,15
25,OGCN,45,14,4,7,37,21,16
26,OGCN,46,14,5,7,37,21,16
27,OM,47,13,8,6,39,25,14
28,OGCN,50,15,6,7,38,21,17
29,SRFC,52,16,4,9,63,28,35
30,SRFC,53,16,5,9,64,29,35
31,SRFC,56,17,5,9,67,31,36
32,SRFC,56,17,5,10,69,34,35
33,SRFC,56,17,5,11,70,36,34
34,SRFC,59,18,5,11,75,36,39
35,SRFC,62,19,5,11,77,36,41
36,ASM,65,19,8,9,59,36,23
