leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,CF63,SCO,OM,PSG,LOSC,FCM,FCN,SB29,RCL,FCL,ASM,SRFC,OL,ASSE,OGCN,SDR,MHSC,ESTAC,FCGB,RCSA
2,SCO,CF63,PSG,OGCN,FCN,OM,FCL,ASSE,RCL,SDR,SRFC,SB29,MHSC,ASM,FCM,FCGB,OL,LOSC,ESTAC,RCSA
3,PSG,SCO,CF63,RCL,OM,SRFC,OGCN,MHSC,FCN,FCL,ASSE,SDR,SB29,FCM,FCGB,OL,LOSC,ESTAC,ASM,RCSA
4,PSG,SCO,CF63,OM,OGCN,RCL,FCL,SRFC,OL,LOSC,MHSC,FCN,RCSA,ASM,FCM,ASSE,SDR,SB29,FCGB,ESTAC
5,PSG,SCO,OM,OGCN,RCL,CF63,OL,FCL,MHSC,SDR,SRFC,LOSC,ESTAC,FCN,RCSA,ASM,SB29,FCM,ASSE,FCGB
6,PSG,OM,RCL,OGCN,SCO,CF63,FCL,MHSC,OL,FCN,SDR,RCSA,ESTAC,ASM,LOSC,SRFC,FCGB,SB29,ASSE,FCM
7,PSG,OM,SCO,RCL,FCL,OGCN,OL,FCN,RCSA,MHSC,CF63,SRFC,ASM,LOSC,SDR,FCGB,ESTAC,SB29,ASSE,FCM
8,PSG,OM,RCL,OGCN,SCO,FCL,OL,ASM,LOSC,FCN,SDR,RCSA,SRFC,MHSC,CF63,FCGB,ESTAC,FCM,SB29,ASSE
9,PSG,RCL,OGCN,SCO,OM,ASM,FCL,LOSC,FCN,OL,SRFC,RCSA,MHSC,SDR,CF63,FCGB,ESTAC,FCM,SB29,ASSE
10,PSG,OM,RCL,OGCN,SCO,OL,SRFC,RCSA,FCN,ASM,LOSC,FCL,MHSC,CF63,SDR,ESTAC,FCGB,FCM,SB29,ASSE
11,PSG,RCL,OGCN,OM,SRFC,SCO,FCN,ASM,OL,LOSC,FCL,RCSA,MHSC,CF63,ESTAC,SDR,FCGB,SB29,FCM,ASSE
12,PSG,OGCN,OM,RCL,SRFC,OL,RCSA,SCO,FCN,ASM,MHSC,LOSC,FCL,ESTAC,CF63,FCGB,SDR,SB29,FCM,ASSE
13,PSG,RCL,OGCN,OM,SRFC,MHSC,OL,RCSA,SCO,FCN,ASM,LOSC,FCL,ESTAC,CF63,SDR,SB29,FCGB,ASSE,FCM
