leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
14,PSG,OGCN,SRFC,RCL,OM,SCO,OL,RCSA,ASM,MHSC,FCN,LOSC,SB29,FCL,SDR,FCGB,ESTAC,CF63,ASSE,FCM
15,PSG,SRFC,OGCN,OM,RCL,OL,SCO,RCSA,ASM,FCN,MHSC,SB29,LOSC,SDR,FCL,FCGB,ESTAC,CF63,FCM,ASSE
16,PSG,OM,SRFC,OGCN,RCL,OL,RCSA,ASM,SCO,MHSC,SB29,LOSC,FCN,SDR,ESTAC,FCL,CF63,FCGB,FCM,ASSE
17,PSG,SRFC,OM,OGCN,RCL,RCSA,ASM,SCO,MHSC,OL,SB29,LOSC,FCN,SDR,ESTAC,FCL,FCGB,CF63,FCM,ASSE
18,PSG,OM,SRFC,OGCN,MHSC,RCL,RCSA,ASM,OL,SCO,FCN,LOSC,SB29,SDR,FCGB,CF63,ESTAC,FCM,FCL,ASSE
19,PSG,OGCN,OM,SRFC,MHSC,RCSA,ASM,FCN,LOSC,RCL,OL,SCO,SB29,SDR,ESTAC,FCGB,CF63,FCM,FCL,ASSE
20,PSG,OGCN,OM,RCSA,SRFC,MHSC,LOSC,RCL,ASM,FCN,OL,SCO,SB29,SDR,ESTAC,CF63,FCGB,FCM,FCL,ASSE
21,PSG,OGCN,OM,RCSA,SRFC,ASM,RCL,LOSC,MHSC,OL,FCN,SCO,SB29,SDR,ESTAC,FCM,CF63,FCL,FCGB,ASSE
22,PSG,OGCN,OM,RCSA,SRFC,MHSC,OL,ASM,RCL,FCN,LOSC,SCO,SB29,SDR,CF63,ESTAC,FCGB,FCM,FCL,ASSE
23,PSG,OM,OGCN,RCSA,SRFC,ASM,MHSC,OL,RCL,FCN,LOSC,SCO,SB29,SDR,CF63,ESTAC,FCL,FCM,FCGB,ASSE
24,PSG,OM,OGCN,RCSA,SRFC,ASM,OL,RCL,FCN,LOSC,MHSC,SB29,SCO,SDR,CF63,ESTAC,FCL,ASSE,FCM,FCGB
25,PSG,OM,OGCN,RCSA,SRFC,ASM,FCN,OL,MHSC,RCL,LOSC,SB29,SCO,SDR,CF63,ASSE,ESTAC,FCL,FCM,FCGB
26,PSG,OM,OGCN,SRFC,RCSA,RCL,FCN,LOSC,ASM,OL,MHSC,SB29,SDR,SCO,CF63,FCL,ESTAC,FCM,ASSE,FCGB
27,PSG,OGCN,OM,SRFC,RCSA,FCN,LOSC,ASM,OL,RCL,MHSC,SB29,SDR,SCO,CF63,ESTAC,ASSE,FCL,FCM,FCGB
28,PSG,OM,OGCN,SRFC,RCSA,LOSC,FCN,ASM,RCL,OL,MHSC,SDR,SB29,SCO,ESTAC,CF63,FCL,ASSE,FCM,FCGB
29,PSG,OM,SRFC,OGCN,RCSA,LOSC,ASM,RCL,FCN,OL,MHSC,SDR,SB29,SCO,ESTAC,FCL,CF63,ASSE,FCM,FCGB
30,PSG,OM,SRFC,RCSA,OGCN,ASM,LOSC,FCN,OL,RCL,MHSC,SB29,SDR,SCO,ESTAC,FCL,CF63,ASSE,FCM,FCGB
31,PSG,OM,SRFC,RCSA,OGCN,ASM,LOSC,RCL,FCN,OL,MHSC,SB29,SDR,SCO,ESTAC,FCL,CF63,ASSE,FCGB,FCM
32,PSG,OM,SRFC,OGCN,RCSA,ASM,RCL,OL,LOSC,FCN,MHSC,SB29,SDR,SCO,ESTAC,FCL,ASSE,CF63,FCGB,FCM
33,PSG,OM,SRFC,RCSA,ASM,OGCN,RCL,OL,LOSC,FCN,MHSC,SB29,SDR,SCO,FCL,ESTAC,CF63,ASSE,FCGB,FCM
