leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ESTAC,0,0,0,1,1,2,-1
2,LOSC,1,0,1,1,3,7,-4
3,ESTAC,1,0,1,2,2,5,-3
4,SB29,2,0,2,2,5,9,-4
5,FCM,3,0,3,2,6,10,-4
6,SB29,4,0,4,2,7,11,-4
7,SB29,4,0,4,3,8,14,-6
8,FCM,6,1,3,4,9,16,-7
9,FCM,6,1,3,5,11,19,-8
10,FCM,6,1,3,6,11,22,-11
11,SB29,6,0,6,5,12,20,-8
12,SB29,9,1,6,5,14,20,-6
13,FCGB,12,2,6,5,18,27,-9
14,CF63,13,3,4,7,17,28,-11
15,CF63,13,3,4,8,17,29,-12
16,FCGB,13,2,7,7,24,37,-13
17,CF63,14,3,5,9,19,32,-13
18,FCM,15,3,6,9,22,38,-16
19,FCM,16,3,7,9,23,39,-16
20,FCM,16,3,7,10,23,41,-18
21,FCL,17,3,8,10,16,34,-18
22,FCM,19,4,7,11,24,43,-19
23,FCM,20,4,8,11,24,43,-19
24,ASSE,21,5,6,13,24,45,-21
25,FCL,21,4,9,12,20,39,-19
26,FCM,22,4,10,12,25,45,-20
27,FCL,24,5,9,13,22,43,-21
28,ASSE,26,6,8,14,28,50,-22
29,ASSE,27,6,9,14,29,51,-22
30,ASSE,27,6,9,15,31,55,-24
31,ASSE,27,6,9,16,33,61,-28
32,CF63,29,7,8,17,32,61,-29
33,ASSE,31,7,10,16,37,64,-27
