leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,LOSC,1,0,1,0,3,3,0
2,FCN,4,1,1,0,3,1,2
3,OM,5,1,2,0,6,5,1
4,OGCN,7,2,2,0,9,1,8
5,RCL,9,2,3,0,10,7,3
6,SCO,11,3,2,1,10,6,4
7,FCL,12,3,3,1,8,7,1
8,SCO,13,3,4,1,11,7,4
9,OM,15,4,3,2,15,11,4
10,SCO,16,4,4,2,15,11,4
11,SRFC,18,5,3,3,16,9,7
12,SRFC,19,5,4,3,18,11,7
13,SRFC,22,6,4,3,22,12,10
14,OM,23,6,5,3,21,14,7
15,RCL,25,7,4,4,27,20,7
16,RCL,26,7,5,4,29,22,7
17,RCL,27,7,6,4,30,23,7
18,MHSC,28,8,4,6,29,23,6
19,MHSC,31,9,4,6,33,24,9
20,SRFC,31,9,4,7,34,19,15
21,SRFC,34,10,4,7,40,19,21
22,SRFC,34,10,4,8,41,21,20
23,SRFC,37,11,4,8,43,21,22
24,SRFC,37,11,4,9,43,22,21
25,SRFC,40,12,4,9,47,23,24
26,RCSA,43,12,7,7,48,31,17
27,RCSA,44,12,8,7,49,32,17
28,RCSA,47,13,8,7,50,32,18
29,RCSA,48,13,9,7,50,32,18
30,OGCN,51,15,7,8,40,24,16
31,OGCN,51,15,7,9,40,27,13
32,RCSA,53,14,11,7,53,34,19
33,ASM,56,16,8,9,51,34,17
