leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGCN,1,0,1,0,0,0,0
2,FCM,1,0,1,1,3,5,-2
3,FCGB,2,0,2,1,3,5,-2
4,FCM,3,0,3,1,6,8,-2
5,RCSA,4,1,1,3,7,11,-4
6,LOSC,5,1,2,3,7,12,-5
7,SDR,7,1,4,2,7,8,-1
8,CF63,9,2,3,3,11,19,-8
9,CF63,10,2,4,3,12,20,-8
10,SDR,11,2,5,3,11,12,-1
11,ESTAC,12,3,3,5,11,15,-4
12,CF63,13,3,4,5,14,23,-9
13,CF63,13,3,4,6,16,26,-10
14,SDR,13,2,7,5,15,18,-3
15,FCL,15,3,6,6,13,23,-10
16,ESTAC,16,4,4,8,15,23,-8
17,ESTAC,16,4,4,9,16,25,-9
18,FCGB,17,3,8,7,28,40,-12
19,ESTAC,17,4,5,10,18,28,-10
20,ESTAC,20,5,5,10,19,28,-9
21,ESTAC,20,5,5,11,19,29,-10
22,CF63,21,5,6,11,22,39,-17
23,CF63,24,6,6,11,23,39,-16
24,CF63,24,6,6,12,24,41,-17
25,CF63,27,7,6,12,26,41,-15
26,CF63,28,7,7,12,27,42,-15
27,CF63,28,7,7,13,27,46,-19
28,ESTAC,28,7,7,14,26,41,-15
29,ESTAC,29,7,8,14,27,42,-15
30,ESTAC,32,8,8,14,28,42,-14
31,ESTAC,32,8,8,15,29,44,-15
32,ESTAC,33,8,9,15,30,45,-15
33,FCL,34,8,10,15,33,52,-19
34,FCL,34,8,10,16,33,57,-24
35,SCO,35,8,11,16,38,53,-15
36,ESTAC,37,9,10,17,35,49,-14
