leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCGB,0,0,0,1,0,2,-2
2,ESTAC,0,0,0,2,1,4,-3
3,ASM,1,0,1,2,1,4,-3
4,FCGB,2,0,2,2,3,9,-6
5,ASSE,3,0,3,2,5,9,-4
6,ASSE,3,0,3,3,6,11,-5
7,ASSE,3,0,3,4,7,14,-7
8,SB29,4,0,4,4,9,16,-7
9,SB29,4,0,4,5,10,18,-8
10,SB29,5,0,5,5,11,19,-8
11,FCM,6,1,3,7,12,26,-14
12,FCM,7,1,4,7,13,27,-14
13,ASSE,9,1,6,6,15,28,-13
14,ASSE,12,2,6,6,16,28,-12
15,FCM,12,2,6,7,17,30,-13
16,FCM,12,2,6,8,18,33,-15
17,FCM,12,2,6,9,18,37,-19
18,FCL,15,3,6,9,14,30,-16
19,FCL,16,3,7,9,15,31,-16
20,FCL,16,3,7,10,16,34,-18
21,FCGB,17,3,8,10,30,50,-20
22,FCL,17,3,8,11,18,38,-20
23,FCGB,20,4,8,11,34,58,-24
24,FCM,20,4,8,12,25,45,-20
25,FCM,21,4,9,12,25,45,-20
26,ASSE,22,5,7,14,27,50,-23
27,FCM,22,4,10,13,25,46,-21
28,FCM,23,4,11,13,25,46,-21
29,FCM,23,4,11,14,26,52,-26
30,FCM,23,4,11,15,27,54,-27
31,FCGB,26,5,11,15,41,71,-30
32,FCGB,26,5,11,16,42,77,-35
33,FCGB,27,5,12,16,44,79,-35
