leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,MHSC,0,0,0,1,2,3,-1
2,OL,1,0,1,1,1,4,-3
3,LOSC,2,0,2,1,4,8,-4
4,SDR,3,0,3,1,4,6,-2
5,SB29,3,0,3,2,6,10,-4
6,FCGB,5,1,2,3,7,13,-6
7,ESTAC,5,1,2,4,7,11,-4
8,ESTAC,6,1,3,4,8,12,-4
9,ESTAC,6,1,3,5,8,14,-6
10,FCGB,8,1,5,4,12,21,-9
11,FCGB,9,1,6,4,13,22,-9
12,SDR,11,2,5,5,14,17,-3
13,SB29,12,2,6,5,16,21,-5
14,ESTAC,13,3,4,7,13,22,-9
15,ESTAC,13,3,4,8,13,23,-10
16,CF63,14,3,5,8,19,31,-12
17,FCGB,14,2,8,7,26,39,-13
18,ESTAC,16,4,4,10,17,27,-10
19,CF63,17,4,5,10,20,34,-14
20,FCGB,17,3,8,9,30,44,-14
21,CF63,18,4,6,11,20,38,-18
22,FCGB,20,4,8,10,34,53,-19
23,FCL,20,4,8,11,20,38,-18
24,FCL,21,4,9,11,20,38,-18
25,ESTAC,21,5,6,14,22,40,-18
26,ESTAC,22,5,7,14,23,41,-18
27,ASSE,25,6,7,14,28,50,-22
28,FCL,27,6,9,13,24,43,-19
29,CF63,28,7,7,15,28,51,-23
30,CF63,28,7,7,16,30,54,-24
31,CF63,28,7,7,17,31,60,-29
32,ASSE,30,7,9,16,35,62,-27
33,CF63,32,8,8,17,33,61,-28
34,CF63,33,8,9,17,35,63,-28
35,CF63,33,8,9,18,35,65,-30
36,FCL,34,8,10,18,34,62,-28
