id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
68911,20210806,2100,1,3,ASM,18,FCN,1,1,75.1,55.0,51.7,11,1,5,737,48,88.2,80.0,20,25.0,15,3,3,5,10,20.0,20,70.0,5,6,0,0,24.9,45.0,48.3,14,0,2,243,57,61.3,54.0,7,42.9,5,1,1,2,3,20.0,19,63.2,26,14,0,0
68909,20210807,1700,1,4,OL,17,SB29,1,1,69.0,51.6,47.1,7,1,9,681,38,88.7,76.1,23,26.1,17,4,4,4,13,23.5,16,68.8,11,10,1,0,31.0,48.4,52.9,15,1,4,298,61,75.5,61.6,14,42.9,13,8,1,4,9,61.5,16,75.0,24,12,1,0
68917,20210807,2100,1,25,ESTAC,2,PSG,1,2,43.1,52.9,16.7,8,1,9,443,53,85.6,71.9,26,19.2,15,7,4,7,8,46.7,17,58.8,14,3,1,0,56.9,47.1,83.3,14,1,1,605,35,92.6,89.3,12,41.7,12,3,3,4,8,25.0,10,60.0,18,15,4,0
68914,20210808,1300,1,6,SRFC,7,RCL,1,1,59.8,48.9,45.5,7,0,3,526,64,89.4,80.3,13,15.4,10,2,5,5,5,20.0,15,60.0,14,10,0,0,40.2,51.1,54.5,5,0,9,343,56,84.0,69.7,22,27.3,11,6,1,5,6,54.5,18,50.0,14,14,2,0
68908,20210808,1500,1,12,FCGB,41,CF63,0,2,44.3,43.1,35.7,11,0,5,439,56,83.4,71.2,18,44.4,10,6,1,5,5,60.0,19,63.2,23,13,1,0,55.7,56.9,64.3,9,2,10,552,57,86.1,73.0,20,30.0,19,10,5,3,16,52.6,18,72.2,12,9,0,0
68913,20210808,1500,1,9,OGCN,14,SDR,0,0,61.4,58.1,53.8,11,0,4,554,51,85.7,78.7,14,50.0,12,2,4,3,9,16.7,21,38.1,6,10,1,0,38.6,41.9,46.2,11,0,2,346,57,76.0,63.1,8,25.0,5,0,3,3,2,0.0,18,66.7,21,8,1,0
68915,20210808,1500,1,11,ASSE,16,FCL,1,1,61.2,58.7,56.7,12,0,8,546,57,85.3,78.5,29,37.9,20,3,6,10,10,15.0,23,47.8,13,10,2,0,38.8,41.3,43.3,10,1,4,352,64,74.7,61.9,14,28.6,12,3,2,4,8,25.0,23,52.2,25,14,3,0
68916,20210808,1500,1,15,RCSA,13,SCO,0,2,57.1,55.4,54.8,8,3,5,513,77,80.9,68.9,24,12.5,7,1,2,3,4,14.3,27,59.3,10,18,2,0,42.9,44.6,45.2,11,2,4,391,68,78.0,66.0,9,33.3,9,2,2,2,7,22.2,18,72.2,29,18,3,0
68910,20210808,1700,1,10,FCM,1,LOSC,3,3,38.4,46.0,50.0,19,0,4,335,59,72.5,58.5,18,16.7,12,5,4,6,6,41.7,16,75.0,13,9,1,1,61.6,54.0,50.0,10,2,5,538,45,81.4,72.2,24,29.2,17,6,4,8,9,35.3,21,61.9,14,10,2,0
68912,20210808,2045,1,8,MHSC,5,OM,2,3,40.6,48.3,46.2,12,1,6,351,57,77.2,62.4,22,13.6,8,1,2,3,5,12.5,19,52.6,18,10,0,0,59.4,51.7,53.8,15,1,11,530,45,87.9,81.8,28,17.9,21,7,6,7,14,33.3,11,63.6,16,5,1,0
68923,20210813,2100,2,16,FCL,3,ASM,1,0,27.8,45.5,45.2,13,0,0,253,63,60.1,50.4,3,33.3,2,2,0,1,1,100.0,23,73.9,36,17,3,0,72.2,54.5,54.8,15,1,6,636,74,83.6,73.9,28,32.1,12,3,4,4,8,25.0,29,62.1,5,15,2,0
68922,20210814,1700,2,1,LOSC,9,OGCN,0,4,62.1,44.4,43.3,7,1,8,591,58,85.3,74.6,18,44.4,11,2,2,3,8,18.2,14,42.9,10,9,3,0,37.9,55.6,56.7,17,1,7,358,49,78.2,59.3,11,18.2,11,7,3,3,8,63.6,21,61.9,20,13,1,0
68926,20210814,2100,2,2,PSG,15,RCSA,4,2,65.0,62.1,52.6,9,1,4,697,46,92.1,85.2,14,21.4,11,5,3,3,8,45.5,10,30.0,11,6,1,0,35.0,37.9,47.4,10,2,4,364,48,84.9,77.0,18,16.7,8,2,2,3,5,25.0,16,75.0,10,18,2,1
68918,20210815,1300,2,13,SCO,4,OL,3,0,42.3,52.6,45.5,11,1,6,365,44,81.9,72.6,17,11.8,13,6,1,7,6,46.2,28,53.6,12,11,1,0,57.7,47.4,54.5,11,0,4,509,59,85.9,72.9,19,31.6,8,3,2,3,5,37.5,28,64.3,17,17,3,1
68919,20210815,1500,2,17,SB29,6,SRFC,1,1,40.5,56.1,56.7,7,0,6,344,63,75.0,64.5,25,24.0,10,5,1,2,8,50.0,19,63.2,18,7,2,0,59.5,43.9,43.3,6,2,11,520,34,85.6,67.1,19,21.1,6,2,1,1,5,33.3,11,63.6,22,16,3,0
68920,20210815,1500,2,41,CF63,25,ESTAC,2,0,63.6,47.3,40.0,6,2,9,633,44,93.0,82.2,27,22.2,18,8,3,7,11,44.4,9,22.2,9,6,1,0,36.4,52.7,60.0,5,0,2,358,52,84.9,66.4,13,23.1,6,1,1,1,5,16.7,19,42.1,17,11,1,1
68925,20210815,1500,2,18,FCN,10,FCM,2,0,35.5,47.5,54.5,11,2,6,305,69,67.9,56.5,18,16.7,11,7,3,4,7,63.6,17,70.6,17,18,2,0,64.5,52.5,45.5,5,0,6,570,61,80.9,68.1,16,18.8,10,5,2,4,6,50.0,23,73.9,17,11,0,0
