leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCM,0,0,0,1,0,1,-1
2,FCM,0,0,0,2,0,2,-2
3,SDR,1,0,1,2,2,4,-2
4,FCM,3,1,0,3,2,4,-2
5,FCM,4,1,1,3,3,5,-2
6,FCL,4,1,1,4,9,13,-4
7,FCL,7,2,1,4,12,14,-2
8,FCL,7,2,1,5,12,15,-3
9,FCL,8,2,2,5,12,15,-3
10,FCL,8,2,2,6,12,17,-5
11,SDR,9,2,3,6,16,19,-3
12,SDR,9,2,3,7,16,22,-6
13,RCSA,10,3,1,9,18,24,-6
14,FCL,11,3,2,9,15,24,-9
15,SDR,13,3,4,8,20,26,-6
16,SDR,14,3,5,8,21,27,-6
17,RCSA,14,4,2,11,22,32,-10
18,FCN,16,3,7,8,18,30,-12
19,FCN,17,3,8,8,19,31,-12
20,FCN,18,3,9,8,20,32,-12
21,FCN,18,3,9,9,20,34,-14
22,FCN,18,3,9,10,21,36,-15
23,FCN,19,3,10,10,22,37,-15
24,FCL,22,6,4,14,28,44,-16
25,FCL,23,6,5,14,30,46,-16
26,NO,24,7,3,16,25,51,-26
27,FCL,26,7,5,15,33,51,-18
28,FCL,27,7,6,15,34,52,-18
29,FCL,28,7,7,15,35,53,-18
30,FCL,29,7,8,15,36,54,-18
31,FCL,32,8,8,15,37,54,-17
32,FCL,32,8,8,16,38,58,-20
33,FCL,32,8,8,17,40,61,-21
34,FCL,35,9,8,17,44,62,-18
35,FCL,38,10,8,17,46,62,-16
36,FCL,38,10,8,18,47,66,-19
37,FCL,41,11,8,18,49,67,-18
38,SB29,41,11,8,19,50,66,-16
