leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCGB,1,0,1,0,0,0,0
2,PSG,3,1,0,1,1,1,0
3,NO,3,1,0,2,7,6,1
4,FCGB,5,1,2,1,3,2,1
5,SB29,6,2,0,3,9,12,-3
6,NO,8,2,2,2,9,7,2
7,SB29,9,3,0,4,11,15,-4
8,ASSE,10,3,1,4,9,12,-3
9,ASSE,10,3,1,5,9,13,-4
10,FCGB,12,3,3,4,9,11,-2
11,SB29,15,5,0,6,19,23,-4
12,FCGB,16,4,4,4,12,13,-1
13,FCM,16,4,4,5,13,14,-1
14,FCM,17,4,5,5,15,16,-1
15,FCGB,19,5,4,6,15,17,-2
16,OGCN,21,6,3,7,21,23,-2
17,FCGB,22,6,4,7,18,20,-2
18,OGCN,22,6,4,8,23,27,-4
19,OGCN,23,6,5,8,24,28,-4
20,RCSA,23,7,2,11,29,32,-3
21,OGCN,26,7,5,9,25,31,-6
22,OGCN,26,7,5,10,25,32,-7
23,SB29,27,8,3,12,35,43,-8
24,OGCN,29,8,5,11,29,34,-5
25,SDR,29,7,8,10,31,33,-2
26,SDR,30,7,9,10,32,34,-2
27,SDR,31,7,10,10,32,34,-2
28,SB29,34,10,4,14,42,50,-8
29,SDR,35,8,11,10,35,36,-1
30,FCGB,36,10,6,14,32,38,-6
31,RCSA,36,10,6,15,40,46,-6
32,ASSE,39,10,9,13,36,47,-11
33,ASSE,39,10,9,14,38,50,-12
34,SB29,40,11,7,16,47,57,-10
35,SCO,41,11,8,16,34,53,-19
36,SDR,42,9,15,12,41,44,-3
37,SDR,42,9,15,13,41,48,-7
38,SCO,44,12,8,18,40,58,-18
