leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,DFCO,0,0,0,1,0,1,-1
2,SDR,1,0,1,1,2,3,-1
3,SB29,3,1,0,2,4,7,-3
4,FCL,3,1,0,3,7,9,-2
5,FCL,4,1,1,3,8,10,-2
6,FCN,5,1,2,3,6,9,-3
7,NO,8,2,2,3,9,11,-2
8,NO,8,2,2,4,9,13,-4
9,SDR,8,2,2,5,12,14,-2
10,SDR,9,2,3,5,16,18,-2
11,ASSE,10,3,1,7,11,19,-8
12,NO,11,3,2,7,11,22,-11
13,NO,11,3,2,8,11,24,-13
14,RCSA,11,3,2,9,20,26,-6
15,FCN,14,3,5,7,17,26,-9
16,RCSA,14,4,2,10,22,28,-6
17,FCN,15,3,6,8,18,30,-12
18,RCSA,17,5,2,11,27,32,-5
19,ASSE,19,4,7,8,20,29,-9
20,ASSE,19,4,7,9,20,30,-10
21,ASSE,19,4,7,10,20,35,-15
22,ASSE,22,5,7,10,21,35,-14
23,ASSE,23,5,8,10,22,36,-14
24,RCSA,25,7,4,13,32,39,-7
25,RCSA,28,8,4,13,34,40,-6
26,OGCN,29,8,5,13,31,38,-7
27,ASSE,30,7,9,11,27,39,-12
28,ASSE,30,7,9,12,29,42,-13
29,ASSE,33,8,9,12,30,42,-12
30,ASSE,33,8,9,13,30,46,-16
31,SB29,35,10,5,16,43,54,-11
32,SB29,36,10,6,16,44,55,-11
33,FCGB,36,10,6,17,35,48,-13
34,FCGB,36,10,6,18,36,52,-16
35,RCSA,38,10,8,17,44,54,-10
36,RCSA,38,10,8,18,46,57,-11
37,SB29,41,11,8,18,50,64,-14
38,FCL,42,11,9,18,50,68,-18
