leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SCO,3,1,0,0,1,0,1
2,LOSC,4,1,1,0,2,1,1
3,RCL,6,2,0,1,5,4,1
4,ASM,7,2,1,1,6,5,1
5,RCL,10,3,1,1,8,6,2
6,ASM,10,3,1,2,9,8,1
7,OM,12,3,3,1,10,8,2
8,RCL,14,4,2,2,11,11,0
9,OM,15,4,3,2,11,9,2
10,OL,17,4,5,1,17,10,7
11,MHSC,20,6,2,3,20,16,4
12,MHSC,23,7,2,3,21,16,5
13,ASM,23,7,2,4,24,18,6
14,RCL,24,7,3,4,22,21,1
15,MHSC,26,8,2,5,25,23,2
16,MHSC,27,8,3,5,27,25,2
17,RCL,30,9,3,5,27,24,3
18,ASM,30,9,3,6,33,27,6
19,SRFC,33,9,6,4,28,21,7
20,OM,35,10,5,5,29,21,8
21,OM,35,10,5,6,30,24,6
22,SRFC,36,10,6,6,30,24,6
23,SRFC,37,10,7,6,31,25,6
24,SRFC,38,10,8,6,31,25,6
25,SRFC,38,10,8,7,31,27,4
26,RCL,40,11,7,8,37,35,2
27,FCM,41,11,8,8,33,26,7
28,OM,42,11,9,8,35,32,3
29,RCL,45,12,9,8,44,41,3
30,OM,45,12,9,9,38,36,2
31,OM,48,13,9,9,40,36,4
32,OM,49,13,10,9,43,39,4
33,OM,52,14,10,9,46,41,5
34,OM,55,15,10,9,49,42,7
35,OM,56,15,11,9,50,43,7
36,RCL,56,15,11,10,55,51,4
37,RCL,56,15,11,11,55,54,1
38,SRFC,58,16,10,12,52,40,12
