id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
68103,20200830,1500,2,10,FCM,3,ASM,0,1,54.9,51.1,46.3,11,0,10,471,70,80.5,65.0,27,25.9,14,4,2,7,7,28.6,21,52.4,10,14,0,0,45.1,48.9,53.7,11,4,1,404,58,74.8,54.6,7,0.0,3,2,0,1,2,66.7,26,50.0,25,20,3,1
68104,20200830,1500,2,18,FCN,19,NO,2,1,33.9,53.3,59.5,13,2,4,275,66,63.3,48.4,11,27.3,8,4,1,1,7,50.0,26,73.1,30,17,1,2,66.1,46.7,40.5,10,1,8,532,69,80.6,65.8,32,25.0,18,9,4,4,14,50.0,11,63.6,9,9,2,0
68107,20200830,1500,2,11,ASSE,16,FCL,2,0,52.4,57.3,30.0,10,0,2,431,65,82.8,65.4,10,40.0,13,5,4,3,10,38.5,29,51.7,15,14,2,0,47.6,42.7,70.0,12,1,5,378,41,78.0,65.2,21,19.0,6,1,3,2,4,16.7,19,68.4,11,23,1,0
68100,20200830,2100,2,17,SB29,5,OM,2,3,58.7,52.3,48.3,9,3,10,490,61,81.2,71.9,37,35.1,19,4,2,3,16,21.1,21,71.4,9,17,2,0,41.3,47.7,51.7,15,2,2,355,65,73.2,60.7,9,44.4,7,4,1,1,6,57.1,12,66.7,27,13,4,0
68101,20200910,2100,2,7,RCL,2,PSG,1,0,21.8,48.7,68.4,23,3,4,236,49,69.5,53.2,16,18.8,7,3,1,1,6,42.9,24,58.3,21,21,2,0,78.2,51.3,31.6,5,3,2,896,30,90.7,86.0,13,0.0,8,1,2,6,2,12.5,17,82.4,11,10,2,0
68110,20200911,2100,3,12,FCGB,4,OL,0,0,45.0,47.4,61.9,14,0,4,369,51,78.0,63.4,19,10.5,5,0,1,3,2,0.0,11,54.5,23,12,2,0,55.0,52.6,38.1,14,0,5,456,60,81.6,71.6,22,31.8,20,3,6,11,9,15.0,23,78.3,17,19,3,0
68115,20200912,1700,3,8,MHSC,9,OGCN,3,1,37.3,51.4,50.0,8,1,8,280,66,76.1,62.8,20,35.0,20,13,4,7,13,65.0,13,46.2,20,18,0,0,62.7,48.6,50.0,13,0,9,483,49,86.1,75.2,25,20.0,9,1,4,3,6,11.1,10,50.0,14,16,2,0
68118,20200912,2100,3,11,ASSE,15,RCSA,2,0,48.4,51.7,50.0,12,3,6,347,46,76.4,58.6,23,17.4,9,4,1,3,6,44.4,18,55.6,18,13,1,0,51.6,48.3,50.0,8,0,3,381,70,74.3,64.4,10,30.0,14,7,3,6,8,50.0,13,92.3,18,19,3,0
68112,20200913,1300,3,1,LOSC,10,FCM,1,0,61.8,51.7,49.0,15,1,8,558,46,83.2,75.0,24,16.7,16,6,4,9,7,37.5,22,40.9,12,12,4,0,38.2,48.3,51.0,19,2,3,336,75,74.1,54.1,18,33.3,5,1,1,0,5,20.0,23,52.2,29,14,4,0
68109,20200913,1500,3,13,SCO,14,SDR,1,0,57.6,46.2,46.9,6,2,1,544,52,87.9,78.2,17,17.6,20,7,3,12,8,35.0,8,50.0,13,12,2,1,42.4,53.8,53.1,14,0,2,401,57,81.0,60.9,11,9.1,7,2,0,3,4,28.6,15,40.0,18,12,2,1
68111,20200913,1500,3,20,DFCO,17,SB29,0,2,49.6,41.5,40.6,9,1,5,433,43,83.8,64.4,18,11.1,7,3,2,4,3,42.9,16,75.0,15,16,2,1,50.4,58.5,59.4,14,2,7,438,64,84.0,74.1,22,40.9,19,5,4,9,10,26.3,24,66.7,19,16,0,0
68113,20200913,1500,3,16,FCL,7,RCL,2,3,46.3,48.9,44.7,7,0,4,354,59,72.3,53.8,16,0.0,6,3,1,3,3,50.0,24,33.3,17,20,4,0,53.7,51.1,55.3,12,0,2,407,78,79.6,66.9,23,17.4,12,6,1,5,7,50.0,15,93.3,15,16,1,1
68116,20200913,1500,3,19,NO,6,SRFC,2,4,45.2,52.7,61.1,12,1,8,354,68,79.4,60.8,25,32.0,17,9,3,6,11,52.9,18,66.7,8,17,2,0,54.8,47.3,38.9,4,0,4,444,71,79.3,66.2,14,35.7,10,6,1,4,6,60.0,13,84.6,15,13,6,0
68114,20200913,1700,3,3,ASM,18,FCN,2,1,57.6,57.9,65.4,10,3,9,582,63,85.4,73.7,22,27.3,18,5,3,2,16,27.8,27,59.3,16,14,3,0,42.4,42.1,34.6,7,1,4,420,48,80.0,64.4,16,25.0,7,2,1,4,3,28.6,16,81.3,26,11,1,0
68117,20200913,2100,3,2,PSG,5,OM,0,1,65.9,52.5,42.9,5,4,4,529,40,87.5,80.3,27,29.6,14,4,4,5,9,28.6,19,68.4,6,17,4,3,34.1,47.5,57.1,11,3,2,279,59,73.8,65.8,9,22.2,5,2,2,2,3,40.0,19,47.4,26,19,6,2
68121,20200918,2100,4,4,OL,19,NO,0,0,73.9,49.7,55.0,5,0,9,639,45,87.0,78.4,36,16.7,16,3,8,8,8,18.8,20,80.0,10,18,3,0,26.1,50.3,45.0,16,0,3,232,66,62.9,51.7,9,22.2,10,3,3,8,2,30.0,29,55.2,40,12,2,0
68120,20200919,1700,4,7,RCL,12,FCGB,2,1,59.3,47.5,42.9,13,1,7,546,62,85.2,69.5,20,20.0,19,5,6,3,16,26.3,14,78.6,10,15,5,0,40.7,52.5,57.1,17,1,0,379,60,79.2,64.7,7,85.7,7,3,0,3,4,42.9,15,46.7,21,15,3,1
68127,20200919,2100,4,6,SRFC,3,ASM,2,1,58.3,49.0,42.4,9,0,9,601,49,88.2,77.9,24,25.0,15,3,5,6,9,20.0,10,40.0,15,11,1,0,41.7,51.0,57.6,13,3,10,424,51,81.1,63.2,20,40.0,14,2,6,5,9,14.3,16,75.0,17,12,2,0
68126,20200920,1300,4,9,OGCN,2,PSG,0,3,50.0,45.7,60.0,5,0,4,551,45,91.1,82.5,16,31.3,14,5,4,9,5,35.7,8,37.5,15,9,1,0,50.0,54.3,40.0,6,2,7,539,48,92.2,84.5,26,30.8,14,6,5,0,14,42.9,14,57.1,8,9,2,0
68119,20200920,1500,4,17,SB29,16,FCL,3,2,57.1,56.4,77.1,13,2,4,504,62,83.7,73.8,17,41.2,14,6,4,4,10,42.9,18,61.1,17,20,2,0,42.9,43.6,22.9,12,1,6,369,60,73.7,53.8,17,29.4,10,4,1,3,7,40.0,19,63.2,14,13,1,0
68123,20200920,1500,4,10,FCM,14,SDR,2,1,59.5,50.9,54.8,12,1,8,450,46,82.9,72.9,37,27.0,14,4,3,7,7,28.6,21,57.1,13,14,1,0,40.5,49.1,45.2,7,0,5,318,58,73.3,59.9,12,8.3,10,4,3,6,4,40.0,17,47.1,21,7,4,1
68124,20200920,1500,4,8,MHSC,13,SCO,4,1,50.6,43.6,60.7,11,0,6,512,49,86.7,73.4,30,13.3,14,9,2,4,10,64.3,14,78.6,9,14,4,0,49.4,56.4,39.3,10,0,3,518,38,86.3,75.1,12,8.3,14,3,4,5,9,21.4,26,57.7,22,5,3,0
68128,20200920,1500,4,15,RCSA,20,DFCO,1,0,57.6,57.8,60.0,7,2,8,562,91,84.3,72.1,27,37.0,17,7,3,6,11,41.2,16,75.0,7,10,1,0,42.4,42.2,40.0,11,1,2,414,73,80.9,67.0,15,33.3,5,2,0,2,3,40.0,11,54.5,28,16,1,0
68125,20200920,1700,4,18,FCN,11,ASSE,2,2,56.2,51.7,64.9,14,3,4,418,45,83.0,75.3,34,29.4,15,3,2,4,11,20.0,10,40.0,10,12,2,0,43.8,48.3,35.1,9,0,2,339,57,72.3,44.4,8,12.5,6,4,1,4,2,66.7,22,68.2,25,17,2,0
68122,20200920,2100,4,5,OM,1,LOSC,1,1,56.7,50.4,48.1,8,0,5,499,70,77.2,61.9,25,12.0,11,2,3,5,6,18.2,18,72.2,6,12,3,0,43.3,49.6,51.9,12,5,4,391,68,76.7,67.1,14,35.7,14,7,1,5,9,50.0,15,60.0,16,18,3,0
68132,20200925,2100,5,1,LOSC,18,FCN,2,0,54.3,51.2,47.1,13,3,4,498,69,79.5,65.9,13,15.4,12,4,5,3,9,33.3,26,61.5,23,16,0,0,45.7,48.8,52.9,15,1,7,408,54,75.7,61.9,21,14.3,12,6,5,5,7,50.0,19,47.4,21,12,2,0
68138,20200926,1700,5,11,ASSE,6,SRFC,0,3,47.9,50.9,54.2,8,5,6,432,60,82.9,60.0,25,8.0,6,4,0,2,4,66.7,22,59.1,9,11,1,0,52.1,49.1,45.8,12,0,4,482,66,85.9,70.8,17,29.4,10,6,3,2,8,60.0,22,50.0,20,12,1,0
68134,20200926,2100,5,5,OM,10,FCM,1,1,60.6,58.9,67.6,17,2,5,563,46,84.5,72.2,22,27.3,17,3,3,8,9,17.6,23,52.2,16,15,0,0,39.4,41.1,32.4,24,4,5,368,62,77.2,61.5,15,20.0,14,3,6,7,7,21.4,11,27.3,21,11,2,0
68130,20200927,1300,5,12,FCGB,9,OGCN,0,0,46.0,51.0,50.0,28,1,7,475,52,86.1,75.2,23,21.7,18,5,6,5,13,27.8,17,64.7,14,9,1,0,54.0,49.0,50.0,16,0,7,561,36,86.8,73.9,22,4.5,13,2,2,9,4,15.4,18,55.6,12,15,1,0
68129,20200927,1500,5,13,SCO,17,SB29,3,2,52.4,44.6,36.6,14,5,6,510,60,80.6,68.3,19,31.6,12,5,3,3,9,41.7,16,81.3,9,17,3,0,47.6,55.4,63.4,16,1,1,471,84,77.1,69.7,12,58.3,14,6,2,2,12,42.9,29,65.5,19,21,2,0
68131,20200927,1500,5,20,DFCO,8,MHSC,2,2,39.0,49.6,59.5,12,2,6,307,69,72.0,54.1,15,26.7,15,5,8,5,10,33.3,21,47.6,27,15,4,0,61.0,50.4,40.5,9,2,13,475,71,80.6,69.2,31,35.5,14,5,3,5,9,35.7,15,80.0,15,11,1,0
68135,20200927,1500,5,3,ASM,15,RCSA,3,2,57.2,50.0,48.0,9,3,6,527,67,81.8,71.2,16,25.0,11,5,3,5,6,45.5,18,55.6,19,11,1,2,42.8,50.0,52.0,19,5,2,381,66,79.3,69.0,25,28.0,9,5,2,3,6,55.6,13,69.2,18,12,1,0
68136,20200927,1500,5,19,NO,7,RCL,1,1,50.3,50.0,44.2,17,2,5,429,98,71.8,58.6,21,23.8,13,4,5,10,3,30.8,18,27.8,16,10,0,0,49.7,50.0,55.8,13,1,7,422,73,74.6,64.3,21,23.8,15,5,4,7,8,33.3,12,66.7,22,16,3,0
68133,20200927,1700,5,16,FCL,4,OL,1,1,31.3,51.1,56.5,15,1,1,304,63,71.7,53.4,8,25.0,4,2,1,0,4,50.0,26,65.4,23,19,2,0,68.7,48.9,43.5,9,0,5,672,46,91.2,85.0,30,23.3,19,6,3,10,9,31.6,5,60.0,3,7,0,0
68137,20200927,2100,5,14,SDR,2,PSG,0,2,35.4,47.2,80.0,18,1,3,370,38,84.6,68.3,14,14.3,8,3,1,4,4,37.5,11,54.5,17,11,2,0,64.6,52.8,20.0,7,1,7,676,40,90.8,84.6,19,26.3,21,7,2,6,15,33.3,14,71.4,7,10,2,0
68146,20201002,2100,6,2,PSG,13,SCO,6,1,57.1,54.9,54.5,11,2,6,648,19,91.7,87.9,11,9.1,18,12,4,6,12,66.7,21,71.4,5,11,1,0,42.9,45.1,45.5,10,0,2,478,35,87.4,81.0,10,30.0,8,2,1,3,5,25.0,19,52.6,9,9,2,0
68141,20201003,1700,6,7,RCL,11,ASSE,2,0,66.7,49.3,64.3,5,2,12,533,78,85.7,73.2,28,14.3,13,5,2,5,8,38.5,25,60.0,8,23,1,0,33.3,50.7,35.7,8,0,0,275,58,72.0,47.9,5,0.0,2,1,0,0,2,50.0,13,53.8,20,10,1,2
68145,20201003,2100,6,9,OGCN,18,FCN,2,1,73.0,48.5,55.6,18,2,9,758,33,89.8,81.0,27,18.5,19,8,5,6,13,42.1,15,73.3,4,13,2,0,27.0,51.5,44.4,20,2,2,274,52,71.2,60.7,10,50.0,11,1,4,5,6,9.1,18,55.6,23,8,1,1
68144,20201004,1300,6,8,MHSC,19,NO,0,1,51.9,50.0,52.2,11,2,8,404,78,72.5,58.7,23,26.1,12,2,5,4,8,16.7,14,57.1,6,14,2,0,48.1,50.0,47.8,16,0,2,384,76,76.6,60.8,16,18.8,8,1,3,3,5,12.5,13,61.5,18,15,1,0
68139,20201004,1500,6,12,FCGB,20,DFCO,3,0,50.0,50.0,70.6,24,2,5,498,55,85.1,74.6,17,47.1,17,7,3,7,10,41.2,19,84.2,5,15,2,0,50.0,50.0,29.4,7,0,4,496,40,82.5,67.8,14,21.4,5,1,2,3,2,20.0,18,72.2,14,14,3,0
68140,20201004,1500,6,17,SB29,3,ASM,1,0,28.4,56.3,45.5,18,1,1,256,73,65.2,45.5,10,30.0,7,5,0,1,6,71.4,23,47.8,25,10,3,0,71.6,43.8,54.5,13,0,8,646,62,86.5,77.8,31,22.6,21,2,6,8,13,9.5,11,63.6,15,17,4,0
68143,20201004,1500,6,10,FCM,16,FCL,3,1,58.1,61.9,70.8,21,0,4,534,62,85.4,77.2,24,29.2,16,8,1,8,8,50.0,13,61.5,10,10,1,0,41.9,38.1,29.2,9,1,3,386,53,76.4,63.9,15,20.0,10,4,3,7,3,40.0,19,68.4,13,15,2,0
68148,20201004,1500,6,15,RCSA,1,LOSC,0,3,45.9,53.9,63.6,17,0,11,421,88,80.0,65.9,32,37.5,15,3,5,2,13,20.0,16,68.8,8,11,1,0,54.1,46.1,36.4,7,2,1,530,47,83.4,74.9,5,20.0,12,6,3,6,6,50.0,23,69.6,17,10,1,0
68147,20201004,1700,6,6,SRFC,14,SDR,2,2,73.8,51.1,62.5,7,0,10,651,47,88.6,76.1,37,29.7,19,3,7,7,12,15.8,8,62.5,5,12,4,0,26.2,48.9,37.5,11,2,2,232,48,67.2,47.1,9,44.4,9,4,1,3,6,44.4,18,44.4,29,16,3,0
68142,20201004,2100,6,4,OL,5,OM,1,1,67.7,56.3,61.8,8,1,19,531,51,88.3,79.0,51,19.6,24,3,6,7,17,12.5,17,58.8,13,14,1,0,32.3,43.8,38.2,11,0,5,266,48,71.4,54.7,8,0.0,3,1,0,2,1,33.3,13,53.8,47,10,2,1
68150,20201016,1900,7,20,DFCO,6,SRFC,1,1,39.0,43.3,39.4,15,2,3,361,69,77.6,64.3,10,40.0,12,4,3,5,7,33.3,17,58.8,29,22,4,0,61.0,56.7,60.6,14,1,5,561,57,82.9,73.2,20,10.0,12,3,3,6,6,25.0,21,71.4,9,13,2,0
68155,20201016,2100,7,19,NO,2,PSG,0,4,24.0,42.7,35.5,13,1,1,224,58,64.3,46.6,7,14.3,5,2,0,4,1,40.0,12,66.7,21,10,1,1,76.0,57.3,64.5,9,0,9,706,31,89.4,86.9,25,52.0,30,11,7,7,23,36.7,11,81.8,8,12,2,0
68156,20201017,1700,7,14,SDR,16,FCL,1,3,46.6,46.7,54.1,11,2,3,345,58,75.1,61.2,14,35.7,6,3,2,3,3,50.0,13,46.2,22,14,4,2,53.4,53.3,45.9,20,2,6,388,72,76.8,56.6,22,9.1,14,4,5,5,9,28.6,21,61.9,13,11,1,0
68152,20201017,2100,7,5,OM,12,FCGB,3,1,55.9,52.6,53.1,11,2,6,519,70,82.9,78.6,12,16.7,6,4,0,1,5,66.7,16,75.0,12,13,3,0,44.1,47.4,46.9,18,1,10,403,54,78.4,61.4,16,18.8,8,4,3,3,5,50.0,13,38.5,11,13,1,0
68158,20201018,1300,7,15,RCSA,4,OL,2,3,53.0,52.4,59.0,12,3,4,365,65,74.2,61.4,31,25.8,19,8,0,5,14,42.1,16,75.0,8,13,2,0,47.0,47.6,41.0,13,2,2,345,54,75.1,65.3,8,62.5,14,8,0,3,11,57.1,12,41.7,31,8,3,0
68149,20201018,1500,7,13,SCO,10,FCM,1,1,46.5,46.0,57.1,12,2,2,421,54,77.7,66.1,17,5.9,7,2,3,2,5,28.6,22,59.1,15,18,4,0,53.5,54.0,42.9,17,1,5,493,66,80.9,60.0,17,11.8,7,3,1,4,3,42.9,29,55.2,15,13,2,0
