leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,RCL,0,0,0,1,1,2,-1
2,OM,3,1,0,1,3,4,-1
3,FCL,3,1,0,2,5,6,-1
4,FCN,5,1,2,1,5,5,0
5,NO,5,1,2,2,8,7,1
6,OL,7,1,4,1,7,5,2
7,FCM,8,2,2,3,7,7,0
8,FCN,9,2,3,3,10,11,-1
9,FCN,9,2,3,4,10,14,-4
10,SB29,12,4,0,6,15,22,-7
11,FCN,13,3,4,4,13,15,-2
12,FCN,13,3,4,5,14,18,-4
13,FCN,13,3,4,6,14,22,-8
14,FCN,14,3,5,6,15,23,-8
15,ASSE,16,4,4,7,14,21,-7
16,ASSE,17,4,5,7,16,23,-7
17,ASSE,18,4,6,7,18,25,-7
18,ASSE,19,4,7,7,19,26,-7
19,SDR,21,5,6,8,27,29,-2
20,OGCN,23,6,5,9,24,31,-7
21,SDR,24,6,6,9,29,31,-2
22,SB29,26,8,2,12,33,41,-8
23,OGCN,26,7,5,11,26,34,-8
24,SDR,28,7,7,10,30,32,-2
25,OGCN,29,8,5,12,30,36,-6
26,ASSE,30,7,9,10,26,37,-11
27,SB29,31,9,4,14,39,49,-10
28,RCSA,33,9,6,13,36,41,-5
29,SB29,34,10,4,15,43,53,-10
30,SB29,35,10,5,15,43,53,-10
31,FCGB,36,10,6,15,34,41,-7
32,RCSA,36,10,6,16,41,50,-9
33,RCSA,37,10,7,16,42,51,-9
34,ASSE,39,10,9,15,39,52,-13
35,SB29,40,11,7,17,48,61,-13
36,SB29,40,11,7,18,50,64,-14
37,FCGB,42,12,6,19,40,55,-15
38,SDR,42,9,15,14,42,50,-8
