leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SRFC,1,0,1,0,1,1,0
2,MHSC,3,1,0,1,3,3,0
3,FCGB,5,1,2,0,2,0,2
4,OGCN,6,2,0,2,5,7,-2
5,OGCN,7,2,1,2,5,7,-2
6,OM,9,2,3,1,7,7,0
7,ASSE,10,3,1,3,9,10,-1
8,FCM,11,3,2,3,9,7,2
9,MHSC,14,4,2,3,14,13,1
10,SCO,16,5,1,4,15,20,-5
11,FCM,16,4,4,3,12,9,3
12,SB29,18,6,0,6,21,23,-2
13,FCGB,19,5,4,4,13,13,0
14,SB29,21,7,0,7,23,25,-2
15,SB29,22,7,1,7,25,27,-2
16,FCM,23,6,5,5,19,16,3
17,FCM,23,6,5,6,19,17,2
18,SB29,26,8,2,8,30,31,-1
19,FCGB,26,7,5,7,20,21,-1
20,FCM,28,7,7,6,21,18,3
21,SCO,30,9,3,9,26,33,-7
22,FCGB,32,9,5,8,26,24,2
23,FCGB,32,9,5,9,26,27,-1
24,FCGB,32,9,5,10,27,29,-2
25,SCO,34,10,4,11,30,40,-10
26,SCO,35,10,5,11,30,40,-10
27,SCO,36,10,6,11,32,42,-10
28,SRFC,38,10,8,10,33,32,1
29,SCO,39,11,6,12,33,43,-10
30,SCO,40,11,7,12,33,43,-10
31,OGCN,42,12,6,13,41,42,-1
32,FCM,42,11,9,12,36,38,-2
33,OGCN,43,12,7,14,41,44,-3
34,FCM,43,11,10,13,37,41,-4
35,OGCN,46,13,7,15,44,47,-3
36,FCM,46,12,10,14,42,45,-3
37,FCM,46,12,10,15,43,47,-4
38,FCM,47,12,11,15,44,48,-4
