leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASM,1,0,1,0,2,2,0
2,OL,3,1,0,1,5,3,2
3,SCO,6,2,0,1,2,2,0
4,SB29,6,2,0,2,7,9,-2
5,OM,8,2,2,1,6,6,0
6,FCGB,9,2,3,1,6,2,4
7,OL,10,2,4,1,10,7,3
8,FCGB,12,3,3,2,9,5,4
9,ASM,14,4,2,3,15,13,2
10,OGCN,17,5,2,3,15,12,3
11,OGCN,17,5,2,4,17,15,2
12,SCO,19,6,1,5,18,22,-4
13,SRFC,19,5,4,4,19,18,1
14,SRFC,22,6,4,4,20,18,2
15,SCO,23,7,2,6,20,24,-4
16,SCO,24,7,3,6,21,25,-4
17,SCO,27,8,3,6,23,26,-3
18,MHSC,27,8,3,7,30,31,-1
19,MHSC,28,8,4,7,31,32,-1
20,FCGB,29,8,5,7,23,21,2
21,RCL,31,9,4,8,30,30,0
22,SCO,33,10,3,9,29,34,-5
23,SCO,34,10,4,9,29,34,-5
24,SCO,34,10,4,10,29,37,-8
25,MHSC,35,10,5,10,41,45,-4
26,MHSC,38,11,5,10,43,46,-3
27,SRFC,38,10,8,9,33,31,2
28,SCO,39,11,6,11,33,42,-9
29,MHSC,41,11,8,10,45,48,-3
30,FCM,42,11,9,10,36,32,4
31,FCM,42,11,9,11,36,36,0
32,OGCN,43,12,7,13,41,42,-1
33,FCM,43,11,10,12,36,38,-2
34,OGCN,46,13,7,14,44,45,-1
35,FCM,46,12,10,13,42,42,0
36,OGCN,49,14,7,15,47,49,-2
37,OGCN,49,14,7,16,47,51,-4
38,OGCN,52,15,7,16,50,53,-3
