leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCN,1,0,1,0,0,0,0
2,RCL,3,1,0,1,2,2,0
3,FCN,4,1,1,1,3,3,0
4,OL,5,1,2,1,5,3,2
5,FCGB,6,1,3,1,3,2,1
6,SCO,9,3,0,3,7,14,-7
7,FCGB,9,2,3,2,7,5,2
8,ASM,11,3,2,3,11,13,-2
9,FCGB,12,3,3,3,9,9,0
10,FCN,12,3,3,4,12,14,-2
11,FCGB,15,4,3,4,10,11,-1
12,FCM,16,4,4,4,12,11,1
13,SB29,18,6,0,7,21,24,-3
14,OGCN,18,5,3,6,18,19,-1
15,FCM,20,5,5,5,17,16,1
16,FCGB,22,6,4,6,17,17,0
17,OGCN,22,6,4,7,23,25,-2
18,FCGB,23,6,5,7,18,20,-2
19,FCM,25,6,7,6,20,18,2
20,SB29,26,8,2,10,31,36,-5
21,SB29,26,8,2,11,31,37,-6
22,SDR,27,7,6,9,30,31,-1
23,SDR,28,7,7,9,30,31,-1
24,SB29,30,9,3,12,37,44,-7
25,SB29,31,9,4,12,37,44,-7
26,SB29,31,9,4,13,39,47,-8
27,OGCN,32,9,5,13,33,39,-6
28,SDR,34,8,10,10,34,35,-1
29,OGCN,36,10,6,13,36,41,-5
30,SDR,38,9,11,10,36,36,0
31,SDR,39,9,12,10,38,38,0
32,SDR,40,9,13,10,38,38,0
33,SCO,41,11,8,14,34,50,-16
34,SCO,41,11,8,15,34,51,-17
35,ASSE,42,11,9,15,41,53,-12
36,SCO,44,12,8,16,37,53,-16
37,SCO,44,12,8,17,39,56,-17
38,FCGB,45,13,6,19,42,56,-14
