leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,0,0,0,1,0,2,-2
2,DFCO,0,0,0,2,1,5,-4
3,RCSA,0,0,0,3,1,7,-6
4,SDR,1,0,1,3,3,6,-3
5,SDR,1,0,1,4,3,8,-5
6,SDR,2,0,2,4,5,10,-5
7,SDR,2,0,2,5,6,13,-7
8,SDR,5,1,2,5,10,13,-3
9,RCSA,6,2,0,7,10,18,-8
10,RCSA,6,2,0,8,10,19,-9
11,RCSA,6,2,0,9,13,23,-10
12,RCSA,7,2,1,9,14,24,-10
13,FCL,8,2,2,9,12,24,-12
14,SDR,10,2,4,8,17,24,-7
15,NO,11,3,2,10,11,29,-18
16,FCL,11,3,2,11,15,29,-14
17,DFCO,12,2,6,9,12,26,-14
18,FCL,12,3,3,12,19,36,-17
19,FCL,12,3,3,13,20,38,-18
20,NO,15,4,3,13,16,41,-25
21,DFCO,15,2,9,10,15,30,-15
22,NO,18,5,3,14,18,44,-26
23,NO,18,5,3,15,18,47,-29
24,NO,18,5,3,16,21,51,-30
25,NO,21,6,3,16,23,51,-28
26,FCL,23,6,5,15,31,50,-19
27,FCN,24,4,12,11,27,42,-15
28,FCN,24,4,12,12,28,44,-16
29,NO,26,7,5,17,28,55,-27
30,FCN,28,5,13,12,31,46,-15
31,FCN,28,5,13,13,32,48,-16
32,FCN,28,5,13,14,32,49,-17
33,FCN,28,5,13,15,33,51,-18
34,NO,31,8,7,19,33,62,-29
35,NO,32,8,8,19,35,64,-29
36,NO,35,9,8,19,38,64,-26
37,NO,35,9,8,20,40,69,-29
38,NO,35,9,8,21,40,71,-31
