leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,NO,3,1,0,0,4,0,4
2,ASSE,6,2,0,0,4,0,4
3,ASSE,9,3,0,0,6,0,6
4,ASSE,10,3,1,0,8,2,6
5,SRFC,13,4,1,0,12,5,7
6,SRFC,14,4,2,0,14,7,7
7,LOSC,17,5,2,0,13,2,11
8,PSG,18,6,0,2,20,3,17
9,PSG,21,7,0,2,23,3,20
10,PSG,24,8,0,2,26,3,23
11,PSG,24,8,0,3,28,6,22
12,PSG,25,8,1,3,30,8,22
13,PSG,28,9,1,3,33,9,24
14,OM,30,9,3,2,22,13,9
15,LOSC,32,9,5,1,28,10,18
16,LOSC,33,9,6,1,28,10,18
17,OL,36,10,6,1,34,14,20
18,OL,39,11,6,1,37,16,21
19,OL,40,11,7,1,39,18,21
20,PSG,42,13,3,4,44,11,33
21,PSG,45,14,3,4,48,11,37
22,LOSC,48,14,6,2,37,15,22
23,LOSC,51,15,6,2,40,15,25
24,LOSC,54,16,6,2,42,15,27
25,LOSC,55,16,7,2,42,15,27
26,LOSC,58,17,7,2,46,16,30
27,LOSC,59,17,8,2,47,17,30
28,LOSC,62,18,8,2,49,17,32
29,LOSC,63,18,9,2,49,17,32
30,PSG,63,20,3,7,67,21,46
31,LOSC,66,19,9,3,51,19,32
32,LOSC,69,20,9,3,53,19,34
33,LOSC,70,20,10,3,54,20,34
34,LOSC,73,21,10,3,57,22,35
35,LOSC,76,22,10,3,59,22,37
36,LOSC,79,23,10,3,62,22,40
37,LOSC,80,23,11,3,62,22,40
38,LOSC,83,24,11,3,64,23,41
