leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SDR,1,0,1,0,2,2,0
2,NO,3,1,0,1,5,2,3
3,OM,6,2,0,1,4,4,0
4,PSG,6,2,0,2,4,2,2
5,SCO,9,3,0,2,6,8,-2
6,OGCN,10,3,1,2,7,8,-1
7,ASM,11,3,2,2,10,9,1
8,SCO,13,4,1,3,10,16,-6
9,FCM,14,4,2,3,10,7,3
10,MHSC,17,5,2,3,16,13,3
11,SRFC,18,5,3,3,18,15,3
12,SRFC,19,5,4,3,19,16,3
13,SCO,22,7,1,5,20,22,-2
14,SCO,23,7,2,5,20,22,-2
15,ASM,23,7,2,6,25,23,2
16,ASM,26,8,2,6,26,23,3
17,MHSC,27,8,3,6,29,28,1
18,SCO,30,9,3,6,25,27,-2
19,SCO,30,9,3,7,25,30,-5
20,SCO,30,9,3,8,25,31,-6
21,FCM,31,8,7,6,23,18,5
22,RCL,34,10,4,8,32,31,1
23,RCL,35,10,5,8,34,33,1
24,FCM,35,9,8,7,28,22,6
25,FCM,35,9,8,8,29,24,5
26,SRFC,38,10,8,8,32,29,3
27,MHSC,39,11,6,10,43,46,-3
28,MHSC,40,11,7,10,44,47,-3
29,SRFC,41,11,8,10,34,32,2
30,MHSC,44,12,8,10,48,49,-1
31,MHSC,45,12,9,10,49,50,-1
32,MHSC,46,12,10,10,52,53,-1
33,MHSC,47,12,11,10,53,54,-1
34,MHSC,47,12,11,11,54,57,-3
35,MHSC,47,12,11,12,55,59,-4
36,MHSC,50,13,11,12,58,61,-3
37,MHSC,51,13,12,12,58,61,-3
38,MHSC,54,14,12,12,60,62,-2
