leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGCN,3,1,0,0,2,1,1
2,ASM,4,1,1,0,3,2,1
3,LOSC,7,2,1,0,3,1,2
4,RCL,9,3,0,1,7,5,2
5,ASSE,10,3,1,1,8,5,3
6,PSG,12,4,0,2,12,3,9
7,OGCN,13,4,1,2,10,9,1
8,OM,15,4,3,1,11,8,3
9,OGCN,17,5,2,2,14,10,4
10,OM,18,5,3,2,12,9,3
11,RCL,21,6,3,2,17,15,2
12,OL,23,6,5,1,21,10,11
13,OL,26,7,5,1,24,11,13
14,PSG,28,9,1,4,33,10,23
15,OM,30,9,3,3,23,15,8
16,OM,31,9,4,3,24,16,8
17,SRFC,31,9,4,4,26,19,7
18,OM,34,10,4,4,28,19,9
19,OM,35,10,5,4,28,19,9
20,ASM,36,11,3,6,39,29,10
21,ASM,39,12,3,6,42,30,12
22,ASM,42,13,3,6,44,31,13
23,ASM,45,14,3,6,46,32,14
24,ASM,48,15,3,6,50,35,15
25,ASM,49,15,4,6,52,37,15
26,ASM,52,16,4,6,54,37,17
27,ASM,55,17,4,6,56,37,19
28,ASM,55,17,4,7,56,38,18
29,ASM,56,17,5,7,56,38,18
30,ASM,59,18,5,7,60,38,22
31,OL,61,17,10,4,60,31,29
32,OL,64,18,10,4,63,31,32
33,OL,67,19,10,4,65,32,33
34,OL,67,19,10,5,67,35,32
35,OL,70,20,10,5,70,37,33
36,OL,73,21,10,5,74,38,36
37,OL,76,22,10,5,79,40,39
38,OL,76,22,10,6,81,43,38
